#NSGA2
popsize 50
maxGen 200
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	0.0298985
firstFrontCount	22
frontCount	5
avgEvalTime	1.115e-05
#end
Var1	Var2	Obj1	Obj2	
4.40282	4.33285	152.633	0.80172	
3.74279	3.23441	97.8794	4.69789	
3.23732	3.89004	102.451	4.33905	
4.34162	3.92811	137.119	1.58242	
1.15923	0.757014	7.66753	32.7545	
4.2979	3.60788	125.955	2.43095	
1.12272	1.05581	9.50092	30.59	
0.373428	0.141227	0.637575	45.0128	
4.12616	3.35297	113.07	3.47632	
1.76225	1.82147	25.6931	20.5861	
3.24714	2.57056	68.6067	8.97471	
2.54244	3.41787	72.5833	8.54274	
3.02054	2.30526	57.7515	11.1799	
0.0146324	0.233448	0.218848	47.5739	
0.376113	0.842159	3.40277	38.668	
0.0455199	0	0.00828825	49.5469	
2.98633	2.51785	61.0311	10.2159	
3.90346	3.41529	107.605	3.7137	
2.24503	1.92843	35.0359	17.0244	
4.19243	4.14976	139.188	1.37508	
1.70751	1.80025	24.626	21.0789	
0.383709	0	0.588931	46.3101	
0.125843	0.554176	1.29179	43.5228	
2.91619	3.53406	83.975	6.49124	
1.61434	1.76182	22.8405	21.9485	
3.45395	3.10294	86.2321	5.9891	
3.42682	3.91647	108.327	3.64892	
0.762315	1.26102	8.68522	31.9379	
2.7978	2.3712	53.801	11.7603	



#Generation 6 / 200
currentGen	6
evaluateCount	300
totalTime	0.846042
firstFrontCount	50
frontCount	1
avgEvalTime	1.4148e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
4.45706	4.66767	166.61	0.405225	
4.09147	3.82046	125.344	2.21674	
4.12616	3.35297	113.07	3.47632	
2.98633	2.51785	61.0311	10.2159	
2.82048	3.00922	68.042	8.71352	
0.497062	0.617414	2.51308	39.4835	
1.38308	1.1771	13.194	27.6966	
2.40981	2.30964	44.5666	13.9471	
4.40698	4.06059	143.639	1.23416	
0.718983	0	2.06775	43.3271	
3.74279	3.23441	97.8794	4.69789	
3.1132	3.21024	79.9905	6.76327	
1.42963	0.89413	11.3733	29.6057	
2.96833	3.10832	73.8907	7.70612	
4.40282	4.33285	152.633	0.80172	
3.02054	2.30526	57.7515	11.1799	
1.16598	1.95122	20.6671	23.9948	
3.00229	3.73994	92.0035	5.57861	
0.0146324	0.233448	0.218848	47.5739	
3.23732	3.89004	102.451	4.33905	
2.36852	2.57373	48.936	12.8114	
4.76491	4.31902	165.433	0.519001	
4.50029	4.34005	156.354	0.685248	
1.15923	0.757014	7.66753	32.7545	
1.05683	1.73615	16.5244	26.2013	
2.18599	2.31067	40.471	15.1511	
1.12272	1.05581	9.50092	30.59	
0.376113	0.842159	3.40277	38.668	
0.373428	0.141227	0.637575	45.0128	
0.443962	1.03423	5.06693	36.4848	
1.93993	1.87461	29.11	19.1321	
2.54244	3.41787	72.5833	8.54274	
0.762315	1.26102	8.68522	31.9379	
3.81874	4.25008	130.584	1.95774	
1.89427	1.4285	22.5154	22.4012	
0.383709	0	0.588931	46.3101	
0.959376	0.455615	4.51195	36.9781	
2.7978	2.3712	53.801	11.7603	
2.91619	3.53406	83.975	6.49124	
0.0455199	0	0.00828825	49.5469	
1.45439	2.18598	27.5751	20.49	
3.45395	3.10294	86.2321	5.9891	
2.11206	1.96344	33.2637	17.5608	
0.751629	0.951207	5.87896	34.4414	
3.95869	4.18772	132.833	1.74412	
4.19243	4.14976	139.188	1.37508	
4.34162	3.92811	137.119	1.58242	
0.632014	1.08082	6.27049	34.4392	



#Generation 7 / 200
currentGen	7
evaluateCount	350
totalTime	0.878472
firstFrontCount	50
frontCount	1
avgEvalTime	1.449e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
4.45706	4.66767	166.61	0.405225	
0	0	0	50	
3.99012	3.91535	125.004	2.19633	
1.38308	1.1771	13.194	27.6966	
2.36852	2.57373	48.936	12.8114	
2.18599	2.31067	40.471	15.1511	
1.93993	1.87461	29.11	19.1321	
4.40698	4.06059	143.639	1.23416	
2.09563	1.98353	33.3042	17.5345	
2.82048	3.00922	68.042	8.71352	
4.40282	4.33285	152.633	0.80172	
4.50029	4.34005	156.354	0.685248	
1.16598	1.95122	20.6671	23.9948	
3.91533	3.66227	114.968	2.96601	
1.42963	0.89413	11.3733	29.6057	
2.96833	3.10832	73.8907	7.70612	
1.05683	1.73615	16.5244	26.2013	
0.767716	0.149076	2.44645	41.4437	
3.70767	3.57239	106.035	3.70818	
2.40981	2.30964	44.5666	13.9471	
2.51641	3.05475	62.6554	9.95219	
1.36973	1.56877	17.3488	24.9522	
4.76491	4.31902	165.433	0.519001	
3.45395	3.10294	86.2321	5.9891	
0.0146324	0.233448	0.218848	47.5739	
3.1132	3.21024	79.9905	6.76327	
1.12272	1.05581	9.50092	30.59	
3.55211	3.89006	111	3.32836	
0.376113	0.842159	3.40277	38.668	
1.15923	0.757014	7.66753	32.7545	
3.44317	3.65655	100.903	4.2286	
0.497062	0.617414	2.51308	39.4835	
0.373428	0.141227	0.637575	45.0128	
1.45439	2.18598	27.5751	20.49	
1.97959	1.55115	25.2993	21.0175	
