#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0399441
firstFrontCount	20
frontCount	8
avgEvalTime	8.1488e-05
#end
Var1	Var2	Obj1	Obj2	
2.68645	2.9572	63.8481	9.52557	
2.52847	1.60517	35.8788	17.6334	
3.47785	3.74162	104.38	3.90048	



#Generation 8 / 100
currentGen	8
evaluateCount	400
totalTime	1.45248
firstFrontCount	50
frontCount	1
avgEvalTime	1.437e-05
#end
Var1	Var2	Obj1	Obj2	
4.88418	4.85377	189.657	0.0347974	
0	0	0	50	
0	0	0	50	
0.692784	0.709753	3.9348	36.9583	
3.90219	4.10406	128.281	2.00791	
4.21784	4.16861	140.67	1.30298	
4.50637	4.12412	149.263	1.01084	
2.5862	2.364	49.1075	12.775	
0.386008	0.64383	2.25408	40.2651	
2.82464	3.61484	84.1826	6.65086	
0.336795	0.193171	0.602983	44.8511	
4.41362	4.85448	172.184	0.365016	
3.78525	3.76029	113.872	3.01248	
2.32631	2.3362	43.4781	14.2445	
2.59812	2.63251	54.7213	11.374	
3.47785	3.74162	104.38	3.90048	
2.68645	2.9572	63.8481	9.52557	
4.56177	4.39302	160.434	0.560468	
3.38035	2.73701	75.6719	7.7444	
0.965753	0.779708	6.1625	34.086	
1.46356	0.764016	10.9029	30.45	
5	4.49025	180.65	0.259841	
2.78942	3.10598	69.712	8.47397	
0.250442	0	0.250885	47.5583	
1.18661	1.71257	17.3637	25.3492	
3.86307	3.84275	118.76	2.63182	
4.72776	4.30935	163.689	0.551106	
3.38826	3.35649	90.9854	5.29882	
3.56854	3.04225	87.959	5.88187	
1.42943	1.0063	12.2237	28.6986	
1.98013	2.2926	36.7078	16.4496	
1.14765	1.57694	15.2153	26.558	
2.18645	1.94314	34.2254	17.2605	
3.29266	3.63301	96.1613	4.78369	
0.319918	0.420636	1.11713	42.8737	
1.64879	1.42942	19.0469	23.9797	
2.12349	1.7655	30.5048	18.7363	
5	4.63823	186.053	0.130879	
2.7031	2.69557	58.2914	10.5862	
1.65136	2.07925	28.2011	19.7442	
3.03669	2.44413	60.7809	10.3871	
0.0276784	0.125644	0.0662097	48.4833	
2.27071	2.21704	40.2856	15.1939	
2.04568	1.94665	31.897	18.051	
1.70384	1.47367	20.2991	23.2997	
2.18705	1.4483	27.5231	20.5272	
2.42585	1.99586	39.4729	15.6511	
0.321071	0.548025	1.61367	41.7125	
3.65074	3.46765	101.41	4.16859	
1.09439	0.946824	8.37666	31.682	



#Generation 9 / 100
currentGen	9
evaluateCount	450
totalTime	1.47708
firstFrontCount	50
frontCount	1
avgEvalTime	1.0942e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
4.88418	4.85377	189.657	0.0347974	
0.692784	0.709753	3.9348	36.9583	
0.965753	0.779708	6.1625	34.086	
2.5862	2.364	49.1075	12.775	
2.78942	3.10598	69.712	8.47397	
3.86307	3.84275	118.76	2.63182	
2.32631	2.3362	43.4781	14.2445	
3.90219	4.10406	128.281	2.00791	
1.14765	1.57694	15.2153	26.558	
1.5768	1.95755	25.2733	20.9748	
1.70384	1.47367	20.2991	23.2997	
2.59812	2.63251	54.7213	11.374	
4.41362	4.85448	172.184	0.365016	
2.68645	2.9572	63.8481	9.52557	
4.56177	4.39302	160.434	0.560468	
1.42943	1.0063	12.2237	28.6986	
4.4532	3.70355	134.189	1.97977	
3.38035	2.73701	75.6719	7.7444	
1.09439	0.946824	8.37666	31.682	
0.6883	0.370657	2.44458	40.0216	
4.50637	4.12412	149.263	1.01084	
1.18661	1.71257	17.3637	25.3492	
2.82464	3.61484	84.1826	6.65086	
3.29266	3.63301	96.1613	4.78369	
2.65486	3.62065	80.6297	7.40228	
4.72776	4.30935	163.689	0.551106	
3.56854	3.04225	87.959	5.88187	
3.65074	3.46765	101.41	4.16859	
0.319918	0.420636	1.11713	42.8737	
1.98013	2.2926	36.7078	16.4496	
1.64879	1.42942	19.0469	23.9797	
0.222517	0.125791	0.261349	46.5823	
3.8498	3.59535	110.99	3.29599	
3.78525	3.76029	113.872	3.01248	
2.12349	1.7655	30.5048	18.7363	
5	4.63823	186.053	0.130879	
2.7031	2.69557	58.2914	10.5862	
1.65136	2.07925	28.2011	19.7442	
4.21784	4.16861	140.67	1.30298	
3.03669	2.44413	60.7809	10.3871	
0.0276784	0.125644	0.0662097	48.4833	
2.27071	2.21704	40.2856	15.1939	
3.87951	3.39919	106.42	3.8181	
5	4.45141	179.26	0.300948	
0.336795	0.193171	0.602983	44.8511	
2.22159	2.20299	39.1544	15.5429	
0.312045	0.255609	0.650831	44.4862	
4.43229	4.04614	144.066	1.23213	



#Generation 10 / 100
currentGen	10
evaluateCount	500
totalTime	1.50378
firstFrontCount	50
frontCount	1
avgEvalTime	1.2598e-05
#end
Var1	Var2	Obj1	Obj2	
4.88418	4.85377	189.657	0.0347974	
0	0	0	50	
0	0	0	50	
0.692784	0.709753	3.9348	36.9583	
0.965753	0.779708	6.1625	34.086	
1.09439	0.946824	8.37666	31.682	
0.6883	0.370657	2.44458	40.0216	
4.50637	4.12412	149.263	1.01084	
3.86307	3.84275	118.76	2.63182	
3.90219	4.10406	128.281	2.00791	
1.14765	1.57694	15.2153	26.558	
2.5862	2.364	49.1075	12.775	
2.12349	1.7655	30.5048	18.7363	
4.41362	4.85448	172.184	0.365016	
4.56177	4.39302	160.434	0.560468	
1.26545	1.08299	11.0969	29.2899	
4.4532	3.70355	134.189	1.97977	
2.20394	1.95405	34.7026	17.0958	
5	4.45141	179.26	0.300948	
1.42943	1.0063	12.2237	28.6986	
0.222517	0.125791	0.261349	46.5823	
1.39774	1.88397	22.0122	22.6859	
3.08166	3.30647	81.7175	6.54807	
0.0276784	0.125644	0.0662097	48.4833	
2.32631	2.3362	43.4781	14.2445	
4.21784	4.16861	140.67	1.30298	
4.72776	4.30935	163.689	0.551106	
