#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0483512
firstFrontCount	1
frontCount	50
avgEvalTime	0.000446584
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.46317	0.979987	0.46317	0.979987	0	0	
0.759683	0.734498	0.759683	0.734498	0	0	
0.849444	0.49435	0.849444	0.49435	0	0	
1.01503	0.0980953	1.01503	0.0980953	0	0	
0.472484	0.951111	0.472484	0.951111	0	0	
0.991139	0.270751	0.991139	0.270751	0	0	
0.777646	0.652174	0.777646	0.652174	0	0	
0.608827	0.773866	0.608827	0.773866	0	0	
0.533678	0.799174	0.533678	0.799174	0	0	
0.18191	0.988117	0.18191	0.988117	0	0	
0.633896	0.79783	0.633896	0.79783	0	0	
0.580957	0.854095	0.580957	0.854095	0	0	
0.316004	1.01828	0.316004	1.01828	0	0	
0.679853	0.78732	0.679853	0.78732	0	0	
0.546557	0.965953	0.546557	0.965953	0	0	
0.862937	0.526879	0.862937	0.526879	0	0	
1.04707	0.15201	1.04707	0.15201	0	0	
0.522319	0.967437	0.522319	0.967437	0	0	
0.764868	0.774534	0.764868	0.774534	0	0	
0.995233	0.397208	0.995233	0.397208	0	0	
0.58017	0.866866	0.58017	0.866866	0	0	
0.991583	0.433746	0.991583	0.433746	0	0	
1.06869	0.111469	1.06869	0.111469	0	0	
0.201344	1.07003	0.201344	1.07003	0	0	
0.779798	0.706535	0.779798	0.706535	0	0	
0.316176	1.13139	0.316176	1.13139	0	0	
0.318757	1.06416	0.318757	1.06416	0	0	
0.414592	1.0352	0.414592	1.0352	0	0	
0.649254	0.832599	0.649254	0.832599	0	0	
0.614178	0.861945	0.614178	0.861945	0	0	
0.654139	0.805729	0.654139	0.805729	0	0	
1.12742	0.250801	1.12742	0.250801	0	0	
0.771152	0.779814	0.771152	0.779814	0	0	
1.02115	0.535467	1.02115	0.535467	0	0	
0.891682	0.567173	0.891682	0.567173	0	0	
0.581484	1.02623	0.581484	1.02623	0	0	
0.876829	0.596292	0.876829	0.596292	0	0	
1.08713	0.297174	1.08713	0.297174	0	0	
1.03017	0.402589	1.03017	0.402589	0	0	
0.688924	0.79148	0.688924	0.79148	0	0	
1.17386	0.442928	1.17386	0.442928	0	0	
0.333589	1.08709	0.333589	1.08709	0	0	
0.463482	1.04238	0.463482	1.04238	0	0	
0.894998	0.750631	0.894998	0.750631	0	0	
0.98359	0.583227	0.98359	0.583227	0	0	
0.629417	0.893537	0.629417	0.893537	0	0	
0.733621	0.795698	0.733621	0.795698	0	0	
0.956033	0.598086	0.956033	0.598086	0	0	
0.369355	1.06836	0.369355	1.06836	0	0	
0.684288	0.872889	0.684288	0.872889	0	0	



#Generation 9 / 100
currentGen	9
evaluateCount	450
totalTime	0.935296
firstFrontCount	12
frontCount	4
avgEvalTime	8.876e-06
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.759683	0.734498	0.759683	0.734498	0	0	
0.849444	0.49435	0.849444	0.49435	0	0	
1.01503	0.0980953	1.01503	0.0980953	0	0	
0.472484	0.951111	0.472484	0.951111	0	0	
0.991139	0.270751	0.991139	0.270751	0	0	
